case_id,activity,resource,role,Channel,Complete,Country,Damaged,Error_Free,Invoice_amount,Supplier,Type,Systems,Stages,Payment_Terms,Discount,Discount_Rate,Discount_Type,Start_Time,End_Time
1,Create Purchase Requisition,Kim Passa,Requester,Email,1,SGP,0,1,410979.43,SINOPHARM,Goods,Oracle BPS P2P,Procure Goods and Services,,24575.83,0.06,Standard,2020-01-01T00:00:00.000,2020-01-01T00:37:00.000
1,Create Small Request for Quotation,Kim Passa,Requester,Email,1,SGP,0,1,410979.43,SINOPHARM,Goods,Oracle BPS P2P,Procure Goods and Services,,24575.83,0.06,Standard,2020-01-01T05:37:00.000,2020-01-01T05:45:00.000
1,Analyze Request for Quotation,Karel de Groot,Purchasing Agent,Email,1,SGP,0,1,410979.43,SINOPHARM,Goods,Oracle BPS P2P,Procure Goods and Services,,24575.83,0.06,Standard,2020-01-01T06:41:00.000,2020-01-01T06:55:00.000
1,Send Request for Quotation to Supplier,Karel de Groot,Purchasing Agent,Email,1,SGP,0,1,410979.43,SINOPHARM,Goods,Oracle BPS P2P,Procure Goods and Services,,24575.83,0.06,Standard,2020-01-01T11:43:00.000,2020-01-01T12:09:00.000
1,Create Quotation comparison Map,Magdalena Predutta,Purchasing Agent,Email,1,SGP,0,1,410979.43,SINOPHARM,Goods,Oracle BPS P2P,Procure Goods and Services,,24575.83,0.06,Standard,2020-01-01T12:32:00.000,2020-01-01T16:03:00.000
1,Analyze Quotation comparison Map,Immanuel Karagianni,Requester,Email,1,SGP,0,1,410979.43,SINOPHARM,Goods,Oracle BPS P2P,Procure Goods and Services,,24575.83,0.06,Standard,2020-01-01T22:44:00.000,2020-01-01T23:13:00.000
1,Choose best option,Tesca Lobes,Requester,Email,1,SGP,0,1,410979.43,SINOPHARM,Goods,Oracle BPS P2P,Procure Goods and Services,,24575.83,0.06,Standard,2020-01-01T23:13:00.000,2020-01-01T23:13:00.000
1,Settle conditions with supplier,Francois de Perrier,Purchasing Agent,Email,1,SGP,0,1,410979.43,SINOPHARM,Goods,Oracle BPS P2P,Procure Goods and Services,,24575.83,0.06,Standard,2020-01-02T01:22:00.000,2020-01-02T09:20:00.000
1,Create Purchase Order,Karel de Groot,Purchasing Agent,Email,1,SGP,0,1,410979.43,SINOPHARM,Goods,Oracle BPS P2P,Procure Goods and Services,,24575.83,0.06,Standard,2020-01-02T09:58:00.000,2020-01-02T10:10:00.000
1,Confirm Purchase Order,Sean Manney,Supplier,Email,1,SGP,0,1,410979.43,SINOPHARM,Goods,Oracle BPS P2P,Procure Goods and Services,,24575.83,0.06,Standard,2020-01-02T14:09:00.000,2020-01-02T14:43:00.000
1,Approve Purchase Order,Sean Manney,Purchasing Manager,Email,1,SGP,0,1,410979.43,SINOPHARM,Goods,Oracle BPS P2P,Deliver Goods and Services,,24575.83,0.06,Standard,2020-01-02T20:49:00.000,2020-01-03T03:37:00.000
1,Release Purchase Order,Elvira Lores,Requester,Email,1,SGP,0,1,410979.43,SINOPHARM,Goods,Oracle BPS P2P,Manage Invoices,,24575.83,0.06,Standard,2020-01-03T11:20:00.000,2020-01-03T11:21:00.000
1,Approve Purchase Order for payment,Karel de Groot,Purchasing Agent,Email,1,SGP,0,1,410979.43,SINOPHARM,Goods,Oracle BPS P2P,Manage Invoices,15,24575.83,0.06,Standard,2020-01-03T19:09:00.000,2020-01-03T19:10:00.000
1,Receive invoice,Karalda Nimwada,Financial Manager,Email,1,SGP,0,1,410979.43,SINOPHARM,Goods,Oracle BPS P2P,Manage Invoices,30,24575.83,0.06,Standard,2020-01-04T00:54:00.000,2020-01-04T00:54:00.000
1,Release Supplier's Invoice,Karalda Nimwada,Financial Manager,Email,1,SGP,0,1,410979.43,SINOPHARM,Goods,Coupa Invoicing Management,Manage Invoices,,24575.83,0.06,Standard,2020-01-04T15:08:00.000,2020-01-04T15:13:00.000
1,Authorize Supplier's Invoice payment,Karalda Nimwada,Financial Manager,Email,1,SGP,0,1,410979.43,SINOPHARM,Goods,Coupa Invoicing Management,Manage Invoices,,24575.83,0.06,Standard,2020-01-04T15:13:00.000,2020-01-04T15:13:00.000
1,Pay invoice,Pedro Alvares,Financial Manager,Email,1,SGP,0,1,410979.43,SINOPHARM,Goods,Coupa Invoicing Management,Manage Invoices,,24575.83,0.06,Standard,2020-02-15T15:22:00.000,2020-02-17T15:22:00.000
2,Create Purchase Requisition,Immanuel Karagianni,Requester,Online,1,SGP,0,1,513277.11,Sanofi,Services,Oracle BPS P2P,Procure Goods and Services,,97511.36,0.19,Premium,2020-01-01T00:16:00.000,2020-01-01T00:29:00.000
2,Create Small Request for Quotation,Alberto Duport,Requester,Online,1,SGP,0,1,513277.11,Sanofi,Services,Oracle BPS P2P,Procure Goods and Services,,97511.36,0.19,Premium,2020-01-01T08:16:00.000,2020-01-01T08:26:00.000
2,Analyze Request for Quotation,Karel de Groot,Purchasing Agent,Online,1,SGP,0,1,513277.11,Sanofi,Services,Oracle BPS P2P,Procure Goods and Services,,97511.36,0.19,Premium,2020-01-01T09:34:00.000,2020-01-01T09:38:00.000
2,Amend Request for Quotation,Christian Francois,Requester Manager,Online,1,SGP,0,1,513277.11,Sanofi,Services,Oracle BPS P2P,Procure Goods and Services,,97511.36,0.19,Premium,2020-01-01T10:16:00.000,2020-01-01T10:21:00.000
2,Analyze Request for Quotation,Magdalena Predutta,Purchasing Agent,Online,1,SGP,0,1,513277.11,Sanofi,Services,Oracle BPS P2P,Procure Goods and Services,,97511.36,0.19,Premium,2020-01-01T11:15:00.000,2020-01-01T11:48:00.000
2,Amend Request for Quotation,Esmana Liubiata,Requester Manager,Online,1,SGP,0,1,513277.11,Sanofi,Services,Oracle BPS P2P,Procure Goods and Services,,97511.36,0.19,Premium,2020-01-01T12:33:00.000,2020-01-01T12:39:00.000
2,Analyze Request for Quotation,Karel de Groot,Purchasing Agent,Online,1,SGP,0,1,513277.11,Sanofi,Services,Oracle BPS P2P,Procure Goods and Services,,97511.36,0.19,Premium,2020-01-01T13:28:00.000,2020-01-01T13:38:00.000
2,Send Request for Quotation to Supplier,Francois de Perrier,Purchasing Agent,Online,1,SGP,0,1,513277.11,Sanofi,Services,Oracle BPS P2P,Procure Goods and Services,,97511.36,0.19,Premium,2020-01-01T15:18:00.000,2020-01-01T15:40:00.000
2,Create Quotation comparison Map,Karel de Groot,Purchasing Agent,Online,1,SGP,0,1,513277.11,Sanofi,Services,Oracle BPS P2P,Procure Goods and Services,,97511.36,0.19,Premium,2020-01-01T15:55:00.000,2020-01-01T16:43:00.000
2,Analyze Quotation comparison Map,Esmana Liubiata,Requester,Online,1,SGP,0,1,513277.11,Sanofi,Services,Oracle BPS P2P,Procure Goods and Services,,97511.36,0.19,Premium,2020-01-01T23:33:00.000,2020-01-01T23:44:00.000
2,Choose best option,Fjodor Kowalski,Requester,Online,1,SGP,0,1,513277.11,Sanofi,Services,Oracle BPS P2P,Procure Goods and Services,,97511.36,0.19,Premium,2020-01-01T23:44:00.000,2020-01-01T23:44:00.000
2,Settle conditions with supplier,Magdalena Predutta,Purchasing Agent,Online,1,SGP,0,1,513277.11,Sanofi,Services,Oracle BPS P2P,Procure Goods and Services,,97511.36,0.19,Premium,2020-01-02T02:15:00.000,2020-01-02T15:07:00.000
2,Create Purchase Order,Magdalena Predutta,Purchasing Agent,Online,1,SGP,0,1,513277.11,Sanofi,Services,Oracle BPS P2P,Procure Goods and Services,,97511.36,0.19,Premium,2020-01-02T16:21:00.000,2020-01-02T16:31:00.000
2,Confirm Purchase Order,Esmeralda Clay,Supplier,Online,1,SGP,0,1,513277.11,Sanofi,Services,Oracle BPS P2P,Procure Goods and Services,,97511.36,0.19,Premium,2020-01-02T20:23:00.000,2020-01-02T20:29:00.000
2,Approve Purchase Order,Esmeralda Clay,Purchasing Manager,Online,1,SGP,0,1,513277.11,Sanofi,Services,Oracle BPS P2P,Deliver Goods and Services,,97511.36,0.19,Premium,2020-01-03T03:15:00.000,2020-01-04T14:53:00.000
2,Release Purchase Order,Elvira Lores,Requester,Online,1,SGP,0,1,513277.11,Sanofi,Services,Oracle BPS P2P,Manage Invoices,,97511.36,0.19,Premium,2020-01-04T23:01:00.000,2020-01-04T23:02:00.000
2,Approve Purchase Order for payment,Karel de Groot,Purchasing Agent,Online,1,SGP,0,1,513277.11,Sanofi,Services,Oracle BPS P2P,Manage Invoices,15,97511.36,0.19,Premium,2020-01-05T09:03:00.000,2020-01-05T09:04:00.000
2,Receive invoice,Karalda Nimwada,Financial Manager,Online,1,SGP,0,1,513277.11,Sanofi,Services,Oracle BPS P2P,Manage Invoices,30,97511.36,0.19,Premium,2020-01-05T14:50:00.000,2020-01-05T14:50:00.000
2,Release Supplier's Invoice,Pedro Alvares,Financial Manager,Online,1,SGP,0,1,513277.11,Sanofi,Services,Coupa Invoicing Management,Manage Invoices,,97511.36,0.19,Premium,2020-01-06T05:04:00.000,2020-01-06T05:07:00.000
2,Settle invoice dispute with supplier,Karalda Nimwada,Financial Manager,Online,1,SGP,0,1,513277.11,Sanofi,Services,Salesforce Service Cloud,Manage Invoices,,97511.36,0.19,Premium,2020-01-06T05:38:00.000,2020-01-06T05:58:00.000
2,Authorize Supplier's Invoice payment,Pedro Alvares,Financial Manager,Online,1,SGP,0,1,513277.11,Sanofi,Services,Coupa Invoicing Management,Manage Invoices,,97511.36,0.19,Premium,2020-01-06T05:58:00.000,2020-01-06T05:58:00.000
2,Pay invoice,Karalda Nimwada,Financial Manager,Online,1,SGP,0,1,513277.11,Sanofi,Services,Coupa Invoicing Management,Manage Invoices,,97511.36,0.19,Premium,2020-01-09T06:21:00.000,2020-01-09T06:32:00.000
3,Create Purchase Requisition,Kim Passa,Requester,Manual,1,AUS,0,1,1196835.72,CSL,Goods,Oracle BPS P2P,Procure Goods and Services,,1304.74,0.0,Standard,2020-01-01T02:23:00.000,2020-01-01T03:03:00.000
3,Analyze Purchase Requisition,Heinz Gutschmidt,Requester Manager,Manual,1,AUS,0,1,1196835.72,CSL,Goods,Oracle BPS P2P,Procure Goods and Services,,1304.74,0.0,Standard,2020-01-02T01:50:00.000,2020-01-02T01:58:00.000
3,Create Large Request for Quotation,Francis Odell,Requester Manager,Manual,1,AUS,0,1,1196835.72,CSL,Goods,Oracle BPS P2P,Procure Goods and Services,,1304.74,0.0,Standard,2020-01-02T02:01:00.000,2020-01-02T02:03:00.000
3,Analyze Request for Quotation,Karel de Groot,Purchasing Agent,Manual,1,AUS,0,1,1196835.72,CSL,Goods,Oracle BPS P2P,Procure Goods and Services,,1304.74,0.0,Standard,2020-01-02T03:27:00.000,2020-01-02T03:48:00.000
3,Create Purchase Order,Magdalena Predutta,Purchasing Agent,Manual,1,AUS,0,1,1196835.72,CSL,Goods,Oracle BPS P2P,Procure Goods and Services,,1304.74,0.0,Standard,2020-01-03T23:51:00.000,2020-01-03T23:59:00.000
3,Confirm Purchase Order,Karen Clarens,Supplier,Manual,1,AUS,0,1,1196835.72,CSL,Goods,Oracle BPS P2P,Procure Goods and Services,,1304.74,0.0,Standard,2020-01-04T03:47:00.000,2020-01-04T04:10:00.000
3,Approve Purchase Order,Esmeralda Clay,Purchasing Manager,Manual,1,AUS,0,1,1196835.72,CSL,Goods,Oracle BPS P2P,Deliver Goods and Services,,1304.74,0.0,Standard,2020-01-04T14:53:00.000,2020-01-05T14:20:00.000
3,Release Purchase Order,Elvira Lores,Requester,Manual,1,AUS,0,1,1196835.72,CSL,Goods,Oracle BPS P2P,Manage Invoices,,1304.74,0.0,Standard,2020-01-05T21:54:00.000,2020-01-05T21:55:00.000
